question_id,bundle_id,explanation_id,correct_answer,part,tags,deployed_at
q163,b163,e163,a,1,6;7;185,1514558253312
q164,b164,e164,c,1,10;7;181,1514558256872
q165,b165,e165,b,1,20;21;185,1514558260726
q166,b166,e166,c,1,18;7;185,1514558264428
q167,b167,e167,a,1,5;2;181,1514558268045
q168,b168,e168,d,1,16;2;179;181,1514559199305
q169,b169,e169,c,1,22;2;179;182,1514559202225
q170,b170,e170,b,1,9;2;183,1514559205331
q171,b171,e171,d,1,9;2;184,1514559208307
q172,b172,e172,a,1,5;2;181,1514559211169
q173,b173,e173,a,1,17;7;182,1514559213976
q174,b174,e174,a,1,10;7;183,1514559217075
q175,b175,e175,b,1,17;7;184,1514559220298
q176,b176,e176,d,1,6;7;183,1514559223800
q177,b177,e177,b,1,6;7;182,1514559226931
q178,b178,e178,d,1,9;2;182,1514559446420
q179,b179,e179,c,1,5;2;179;183,1514559449239
q180,b180,e180,b,1,15;2;184,1514559452252
q181,b181,e181,d,1,9;2;181,1514559455532
q182,b182,e182,b,1,4;2;182,1514559458386
q183,b183,e183,d,1,15;2;179;183,1514559461131
q184,b184,e184,a,1,20;21;179;184,1514559463876
q185,b185,e185,a,1,11;7;183,1514559466733
q186,b186,e186,b,1,12;2;182,1514559469672
q187,b187,e187,a,1,4;2;181,1514558764657
q188,b188,e188,c,1,19;2;185,1514558767672
q189,b189,e189,b,1,8;2;185,1514558770726
q190,b190,e190,a,1,6;7;181,1514558773989
q191,b191,e191,b,1,4;2;183,1514558776884
q192,b192,e192,d,1,3;2;185,1514558779614
q193,b193,e193,a,1,4;2;181,1514558782352
q194,b194,e194,d,1,10;7;185,1514558785076
q195,b195,e195,c,1,20;21;185,1514558787819
q196,b196,e196,b,1,17;7;181,1514558790691
q197,b197,e197,a,2,24;25;183;181,1572412346030
q198,b198,e198,a,2,31;32;185;183,1572412347753
q199,b199,e199,b,2,24;33;184;183,1572412349331
q200,b200,e200,c,2,51;24;26;181;185,1572412350963
q201,b201,e201,c,2,28;29;184;183,1572412352668
q202,b202,e202,a,2,24;40;181;185,-1
q203,b203,e203,b,2,38;39;183;185,1572412356112
q204,b204,e204,a,2,24;41;181;185,1572412357758
q205,b205,e205,a,2,44;49;185;181,1572412359436
q206,b206,e206,c,2,31;32;183;185,1572412361098
q207,b207,e207,b,2,51;24;33;181;182,-1
q208,b208,e208,c,2,24;25;181;183,1572412362658
q209,b209,e209,b,2,31;42;185;181,1572412364430
q210,b210,e210,a,2,36;32;185;181,-1
q211,b211,e211,b,2,28;29;181;183,-1
q212,b212,e212,b,2,27;24;26;183;184,1572412367786
q213,b213,e213,a,2,27;24;40;185;183,-1
q214,b214,e214,c,2,31;32;185;183,-1
q215,b215,e215,a,2,30;34;35;183;185,-1
q216,b216,e216,c,2,23;24;25;183;184,1572412374492
q217,b217,e217,a,2,24;48;181;185,1572412378257
q218,b218,e218,b,2,24;50;184;185,1572412380056
q219,b219,e219,c,2,44;45;185;184,-1
q220,b220,e220,a,2,27;31;32;181;185,1572412383568
q221,b221,e221,b,2,36;37;185;183,-1
q222,b222,e222,c,2,24;33;183;181,-1
q223,b223,e223,b,2,36;37;185;183,-1
q224,b224,e224,c,2,28;32;185;183,-1
q225,b225,e225,c,2,30;34;35;181;185,-1
q226,b226,e226,a,2,24;43;184;185,-1
q227,b227,e227,c,2,23;24;25;183;181,-1
q228,b228,e228,b,2,183;185;24;26,-1
q229,b229,e229,a,2,24;33;185;183,1514563743951
q230,b230,e230,b,2,24;48;181;183,-1
q231,b231,e231,c,2,24;33;184;185,-1
q232,b232,e232,a,2,31;32;183;185,1514563750971
q233,b233,e233,c,2,28;29;181;185,1514563753112
q234,b234,e234,a,2,23;24;25;185;181,-1
q235,b235,e235,b,2,24;33;181;185,1514563755373
q236,b236,e236,c,2,44;45;183;185,1514563757527
q237,b237,e237,c,2,23;46;47;185;181,-1
q238,b238,e238,a,2,27;24;26;181;183,1514563761861
q239,b239,e239,a,2,28;29;181;185,-1
q240,b240,e240,b,2,34;35;185;181,1514563764160
q241,b241,e241,b,2,24;40;183;181,1514563766388
q242,b242,e242,b,2,24;41;183;185,1514563768527
q243,b243,e243,c,2,27;28;29;185;183,1514563770617
q244,b244,e244,a,2,31;32;183;185,-1
q245,b245,e245,c,2,24;25;185;183,1514563772760
q246,b246,e246,c,2,30;24;50;185;183,1514563774932
q247,b247,e247,b,2,31;32;181;185,1514563777252
q248,b248,e248,b,2,24;40;184;181,1514563779307
q249,b249,e249,b,2,27;38;39;185;184,1514563781549
q250,b250,e250,c,2,179;38;39;181;185,1514563783810
q251,b251,e251,b,2,36;37;184;183,1514563786033
q252,b252,e252,a,2,24;41;183;181,1514563788134
q253,b253,e253,c,2,31;32;185;183,1514563790315
q254,b254,e254,a,2,36;37;185;183,-1
q255,b255,e255,c,2,31;32;181;185,1514563794759
q256,b256,e256,c,2,34;42;184;183,-1
q257,b257,e257,c,2,30;36;37;181;183,-1
q258,b258,e258,b,2,46;47;184;182,-1
q259,b259,e259,a,2,24;25;182;183,1572412180346
q260,b260,e260,a,2,30;38;39;184;182,-1
q261,b261,e261,c,2,31;32;184;181,1572412183634
q262,b262,e262,a,2,44;45;183;182,-1
q263,b263,e263,b,2,24;48;184;181,-1
q264,b264,e264,a,2,179;38;39;184;182,-1
q265,b265,e265,b,2,24;33;182;181,-1
q266,b266,e266,a,2,24;26;181;184,1572412192285
q267,b267,e267,c,2,30;28;29;184;183,-1
q268,b268,e268,b,2,24;43;184;181,-1
q269,b269,e269,c,2,27;24;26;181;183,-1
q270,b270,e270,a,2,30;34;35;184;181,-1
q271,b271,e271,c,2,36;37;182;183,-1
q272,b272,e272,a,2,31;32;184;183,-1
q273,b273,e273,b,2,179;44;45;181;183,1572412203291
q274,b274,e274,c,2,182;24;40;184,-1
q275,b275,e275,c,2,30;179;34;35;184;181,1572412207226
q276,b276,e276,b,2,30;34;35;183;182,1572412208938
q277,b277,e277,c,2,31;32;182;181,1572412210567
q278,b278,e278,a,2,27;46;47;181;183,1572412212287
q279,b279,e279,a,2,28;29;182;183,1572412214189
q280,b280,e280,b,2,38;39;182;181,1572412216091
q281,b281,e281,c,2,44;45;184;182,-1
q282,b282,e282,a,2,38;39;181;183,-1
q283,b283,e283,a,2,27;179;24;25;182;184,-1
q284,b284,e284,b,2,27;24;33;182;183,1572412221675
q285,b285,e285,a,2,34;35;184;182,-1
q286,b286,e286,b,2,24;40;184;181,-1
q287,b287,e287,a,2,30;34;35;182;181,-1
q288,b288,e288,a,2,24;26;182;181,1572412547137
q289,b289,e289,b,2,51;24;33;183;182,1572412548992
q290,b290,e290,b,2,24;26;183;184,-1
q291,b291,e291,a,2,24;41;182;181,-1
q292,b292,e292,c,2,31;32;183;182,1572412554251
q293,b293,e293,c,2,24;40;181;182,-1
q294,b294,e294,a,2,24;43;182;183,1572412555944
q295,b295,e295,c,2,34;42;181;182,1572412557626
q296,b296,e296,c,2,27;24;48;181;182,-1
q297,b297,e297,b,2,24;40;183;184,1572412561072
q298,b298,e298,c,2,23;24;25;183;182,1572412562852
q299,b299,e299,a,2,27;34;35;182;181,1572412564574
q300,b300,e300,c,2,44;45;181;182,-1
q301,b301,e301,b,2,34;42;183;182,1572412566670
q302,b302,e302,b,2,184;183;31;32,-1
q303,b303,e303,b,2,30;34;42;182;181,-1
q304,b304,e304,a,2,24;26;183;182,-1
q305,b305,e305,b,2,30;38;39;181;182,-1
q306,b306,e306,c,2,27;24;33;182;183,1572412571562
q307,b307,e307,c,2,30;24;48;181;182,-1
q308,b308,e308,a,2,30;34;35;181;182,1572412575002
q309,b309,e309,c,2,28;29;183;184,-1
q310,b310,e310,a,2,28;37;183;182,-1
q311,b311,e311,c,2,34;35;184;183,-1
q312,b312,e312,c,2,23;24;25;183;181,-1
q313,b313,e313,c,2,24;33;185;183,1555045248875
q314,b314,e314,c,2,24;43;185;183,1555045250503
q315,b315,e315,a,2,24;26;181;183,1555045252423
q316,b316,e316,b,2,31;32;184;185,1555045254215
q317,b317,e317,a,2,23;179;24;25;183;185,1555045256067
q318,b318,e318,b,2,24;41;181;185,1555045257978
q319,b319,e319,b,2,24;40;181;185,1555045259765
q320,b320,e320,a,2,36;37;181;185,-1
q321,b321,e321,b,2,23;24;33;183;185,1555045263265
q322,b322,e322,b,2,30;31;32;185;181,1555045264972
q323,b323,e323,a,2,28;29;181;183,1555045266684
q324,b324,e324,a,2,24;26;185;181,1555045268437
q325,b325,e325,c,2,38;39;185;181,1555045270153
q326,b326,e326,b,2,24;43;183;181,-1
q327,b327,e327,c,2,30;36;32;183;185,1555045273870
q328,b328,e328,b,2,179;44;45;183;185,-1
q329,b329,e329,a,2,30;179;38;39;183;185,1555045277473
q330,b330,e330,c,2,34;35;183;185,-1
q331,b331,e331,c,2,31;32;183;185,-1
q332,b332,e332,a,2,24;40;181;185,1555045282784
q333,b333,e333,c,2,30;36;37;184;181,1555045284577
q334,b334,e334,c,2,24;50;185;184,1555045286268
q335,b335,e335,c,2,44;45;181;185,1555045288031
q336,b336,e336,b,2,179;28;29;184;183,1555045289773
q337,b337,e337,c,2,34;35;183;181,-1
q338,b338,e338,b,2,31;32;185;183,-1
q339,b339,e339,c,2,38;39;185;183,1555045295283
q340,b340,e340,b,2,24;41;181;185,-1
q341,b341,e341,c,2,30;38;39;184;183,-1
q342,b342,e342,c,2,179;46;47;183;181,1526634503033
q343,b343,e343,a,2,24;25;182;184,1526634505383
q344,b344,e344,b,2,24;43;182;183,1526634508276
q345,b345,e345,b,2,24;26;184;182,1526634510722
q346,b346,e346,a,2,179;34;35;184;182,-1
q347,b347,e347,b,2,24;43;183;182,-1
q348,b348,e348,a,2,30;31;32;181;184,-1
q349,b349,e349,c,2,24;40;184;182,1526634516273
q350,b350,e350,a,2,179;46;47;182;181,-1
q351,b351,e351,b,2,28;29;181;184,1526634521157
q352,b352,e352,b,2,24;25;184;183,-1
q353,b353,e353,c,2,44;45;184;181,1526634524007
q354,b354,e354,a,2,30;38;39;181;183,-1
q355,b355,e355,c,2,30;36;37;184;181,1526634526436
q356,b356,e356,b,2,30;34;42;181;183,1526634529083
q357,b357,e357,b,2,24;33;183;184,1526634531642
q358,b358,e358,c,2,34;35;181;183,-1
q359,b359,e359,b,2,30;28;37;182;184,1526634536877
q360,b360,e360,c,2,30;36;37;184;181,1526634539562
q361,b361,e361,a,2,24;41;183;182,-1
q362,b362,e362,a,2,30;28;29;182;181,1526634544814
q363,b363,e363,b,2,31;32;181;183,-1
q364,b364,e364,c,2,30;34;42;183;182,-1
q365,b365,e365,a,2,24;41;182;181,-1
q366,b366,e366,a,2,34;35;184;182,1526634547734
q367,b367,e367,c,2,183;181;24;25,-1
q368,b368,e368,b,2,30;24;33;185;183,1572412124493
q369,b369,e369,c,2,184;183;24;40,-1
q370,b370,e370,c,2,181;185;24;48,1572412129469
q371,b371,e371,b,2,184;183;24;33,1572412132587
q372,b372,e372,c,2,181;185;27;24;26,1572412135634
q373,b373,e373,b,2,183;185;23;24;25,1572412137519
q374,b374,e374,b,2,183;185;30;31;32,1572412139339
q375,b375,e375,a,2,185;181;28;29,1572412141113
q376,b376,e376,b,2,183;185;24;43,1572412142978
q377,b377,e377,a,2,30;31;32;185;181,-1
q378,b378,e378,c,2,24;40;181;183,1572412146586
q379,b379,e379,a,2,185;181;31;32,-1
q380,b380,e380,b,2,36;37;185;181,1572412150102
q381,b381,e381,a,2,31;32;183;181,-1
q382,b382,e382,a,2,183;184;36;37,1572412154611
q383,b383,e383,b,2,31;32;185;183,1572412157056
q384,b384,e384,c,2,44;45;185;183,1572412158880
q385,b385,e385,b,2,24;41;183;185,-1
q386,b386,e386,a,2,38;39;183;184,1572412162222
q387,b387,e387,a,2,34;35;181;185,-1
q388,b388,e388,b,2,44;45;184;185,1572412165663
q389,b389,e389,a,2,24;50;185;184,-1
q390,b390,e390,c,2,44;45;181;185,1572412169415
q391,b391,e391,b,2,38;39;185;183,1572412171433
q392,b392,e392,b,2,183;181;31;32,-1
q393,b393,e393,c,2,185;183;30;36;37,-1
q394,b394,e394,b,2,185;183;30;34;35,1572412176911
q395,b395,e395,c,2,181;185;30;34;35,-1
q396,b396,e396,a,2,34;35;185;184,-1
q397,b397,e397,b,2,24;50;181;183,1572412888182
q398,b398,e398,c,2,30;24;43;183;184,1572412889796
q399,b399,e399,a,2,30;31;32;185;181,1572412891407
q400,b400,e400,b,2,46;47;183;185,1572412893087
q401,b401,e401,a,2,23;24;25;185;181,1572412894666
q402,b402,e402,c,2,30;24;26;181;183,1572412896298
q403,b403,e403,b,2,30;44;45;183;184,1572412897950
q404,b404,e404,b,2,24;40;185;181,-1
q405,b405,e405,b,2,38;39;181;185,1572412901208
q406,b406,e406,a,2,46;47;183;181,1572412902832
q407,b407,e407,a,2,181;184;34;35,-1
q408,b408,e408,c,2,31;42;185;183,1572412904448
q409,b409,e409,a,2,24;43;185;181,-1
q410,b410,e410,b,2,44;45;185;181,1572412907686
q411,b411,e411,c,2,30;34;42;185;181,1572412909288
q412,b412,e412,a,2,31;42;183;184,-1
q413,b413,e413,c,2,38;39;181;183,1572412912885
q414,b414,e414,a,2,30;34;42;185;181,1572412914519
q415,b415,e415,c,2,24;41;185;181,1572412916265
q416,b416,e416,a,2,30;28;29;185;181,-1
q417,b417,e417,a,2,24;26;183;184,1572412919673
q418,b418,e418,c,2,30;34;35;181;183,-1
q419,b419,e419,a,2,34;42;185;183,-1
q420,b420,e420,b,2,24;40;185;183,1572412924664
q421,b421,e421,a,2,46;47;181;184,-1
q422,b422,e422,b,2,23;24;33;185;181,-1
q423,b423,e423,b,2,24;25;185;183,1572413077892
q424,b424,e424,a,2,27;24;26;185;183,1572413079490
q425,b425,e425,c,2,36;37;181;183,1572413081530
q426,b426,e426,a,2,34;35;184;185,-1
q427,b427,e427,b,2,24;40;183;185,1572413085046
q428,b428,e428,b,2,24;40;181;185,1572413086851
q429,b429,e429,c,2,30;34;35;185;181,-1
q430,b430,e430,c,2,36;37;181;185,1572413088505
q431,b431,e431,b,2,179;24;43;183;185,1572413090333
q432,b432,e432,a,2,24;41;185;181,1572413091928
q433,b433,e433,b,2,24;40;181;183,-1
q434,b434,e434,c,2,31;32;185;181,-1
q435,b435,e435,b,2,27;24;41;185;181,1572413096883
q436,b436,e436,c,2,28;42;183;181,-1
q437,b437,e437,c,2,31;32;183;185,-1
q438,b438,e438,b,2,30;31;32;185;183,-1
q439,b439,e439,c,2,44;49;185;183,1572413103603
q440,b440,e440,b,2,31;32;185;183,1572413105354
q441,b441,e441,a,2,31;32;183;185,-1
q442,b442,e442,c,2,38;39;181;185,1572413106937
q443,b443,e443,c,2,24;43;184;181,-1
q444,b444,e444,b,2,30;179;28;29;185;184,1572413110271
q445,b445,e445,a,2,28;29;181;185,1572413111950
q446,b446,e446,b,2,34;35;184;183,1572413113554
q447,b447,e447,a,2,27;46;47;183;181,1572413115419
q448,b448,e448,b,2,30;179;34;35;185;183,1572413117181
q449,b449,e449,b,2,179;24;41;185;183,1572413118824
q450,b450,e450,c,2,34;42;185;181,-1
q451,b451,e451,b,2,31;32;184;183,1572413120565
q452,b452,e452,c,2,24;43;183;181,1572413267527
q453,b453,e453,b,2,24;26;182;184,1572413269281
q454,b454,e454,a,2,24;40;182;183,1572413271025
q455,b455,e455,c,2,23;24;33;184;182,1572413272659
q456,b456,e456,c,2,44;45;184;181,1572413274378
q457,b457,e457,a,2,23;24;25;183;182,1572413276137
q458,b458,e458,a,2,24;48;184;181,1572413277941
q459,b459,e459,a,2,38;39;184;182,-1
q460,b460,e460,a,2,24;43;181;182,-1
q461,b461,e461,b,2,30;24;33;181;184,1572413281742
q462,b462,e462,b,2,24;50;184;183,-1
q463,b463,e463,b,2,27;179;38;39;184;181,-1
q464,b464,e464,c,2,179;34;35;183;181,-1
q465,b465,e465,c,2,28;29;181;184,-1
q466,b466,e466,a,2,28;29;181;183,1572413289934
q467,b467,e467,a,2,27;46;47;183;184,1572413291797
q468,b468,e468,c,2,24;50;181;183,1572413293592
q469,b469,e469,c,2,179;28;29;182;184,1572413295352
q470,b470,e470,b,2,27;179;24;26;184;181,1572413296987
q471,b471,e471,a,2,179;34;42;183;182,1572413298739
q472,b472,e472,b,2,34;42;182;181,-1
q473,b473,e473,b,2,24;43;181;183,1572413302111
q474,b474,e474,b,2,31;32;182;183,1572413303860
q475,b475,e475,c,2,36;37;182;181,1572413305684
q476,b476,e476,a,2,31;32;184;182,1572413307330
q477,b477,e477,b,2,44;45;183;181,1572413308941
q478,b478,e478,b,2,34;42;182;184,1572413310582
q479,b479,e479,b,2,179;24;40;182;183,1572413312266
q480,b480,e480,a,2,24;43;184;182,-1
q481,b481,e481,b,2,30;34;42;184;181,-1
q482,b482,e482,b,2,179;46;47;183;181,-1
q483,b483,e483,c,2,24;43;182;184,-1
q484,b484,e484,c,2,28;29;182;183,1568634726068
q485,b485,e485,b,2,30;34;35;184;182,-1
q486,b486,e486,b,2,24;26;184;181,1568634731688
q487,b487,e487,c,2,24;40;183;182,-1
q488,b488,e488,b,2,30;179;28;29;183;182,-1
q489,b489,e489,c,2,30;34;35;184;182,1568634742820
q490,b490,e490,b,2,30;34;42;182;181,1568634747387
q491,b491,e491,b,2,179;34;35;181;184,1568634750140
q492,b492,e492,b,2,24;43;184;183,1568634753051
q493,b493,e493,b,2,24;48;184;181,1568634755960
q494,b494,e494,b,2,36;37;181;183,-1
q495,b495,e495,c,2,30;179;28;29;184;181,1568634761925
q496,b496,e496,b,2,179;24;40;181;183,1568634764635
q497,b497,e497,b,2,28;29;183;184,1568634767501
q498,b498,e498,c,2,30;24;25;181;183,-1
q499,b499,e499,a,2,27;24;26;182;184,1568634773324
q500,b500,e500,b,2,24;43;184;181,1568634776187
q501,b501,e501,a,2,34;35;183;182,-1
q502,b502,e502,c,2,34;42;182;181,-1
q503,b503,e503,b,2,36;37;181;183,-1
q504,b504,e504,b,2,24;50;182;183,-1
q505,b505,e505,a,2,31;32;182;181,1568634790277
q506,b506,e506,b,2,44;45;184;182,1568634793144
q507,b507,e507,c,2,27;24;41;183;181,1568634795925
q508,b508,e508,c,2,31;32;182;184,1568634798782
q509,b509,e509,a,2,31;32;182;183,1568634801761
q510,b510,e510,b,2,34;35;184;182,-1
q511,b511,e511,a,2,36;37;184;181,-1
q512,b512,e512,c,2,179;24;33;183;181,-1
q513,b513,e513,a,2,24;43;185;183,-1
q514,b514,e514,a,2,24;33;181;183,1572412947637
q515,b515,e515,c,2,24;26;184;185,-1
q516,b516,e516,a,2,179;44;45;183;185,1572412951307
q517,b517,e517,a,2,24;25;185;181,-1
q518,b518,e518,b,2,24;25;181;185,1572412952957
q519,b519,e519,c,2,30;36;37;181;185,1572412954761
q520,b520,e520,a,2,24;25;183;185,1572412956537
q521,b521,e521,c,2,30;24;40;185;181,1572412958253
q522,b522,e522,a,2,24;33;183;181,-1
q523,b523,e523,c,2,30;179;34;42;185;181,1572412959990
q524,b524,e524,a,2,31;32;185;181,1572412961735
q525,b525,e525,c,2,34;35;183;181,1572412963579
q526,b526,e526,b,2,28;29;183;185,1572412965252
q527,b527,e527,b,2,179;34;35;185;183,1572412966946
q528,b528,e528,b,2,30;24;40;185;183,1572412968727
q529,b529,e529,b,2,30;24;50;185;183,1572412970541
q530,b530,e530,a,2,31;32;185;183,1572412972310
q531,b531,e531,b,2,34;35;181;185,1572412973930
q532,b532,e532,b,2,24;50;184;181,1572412975753
q533,b533,e533,a,2,30;28;29;184;185,-1
